order_id,company_id,company_name,customer_id,customer_name,ETA,LFD,carrier_id,carrier_name,pick_up_id,pick_up_address,deliver_id,deliver_address,status_id,status_name,weight,billing_date
SM85045,1,"SHANGHAI YUANSHUN TRADE CO.,LTD",1,HONGKONG YINTATECH ,03/31,-,1,,1,Unknown,1,amzddpreleaseupdates@cds-net.com,1,ALL FINISHED/CASE DONE,,2023-03-31
SM85104,2,NBJF,2,NBJF,03/31,2023-04-06,2,DVD TRUCKING CORP,2,SAVANNAH-GARDEN CITY TERMINAL,2,"8 cardinal rd bldg f,    hilton head island sc 29926-3720 united states 
contact:richard camputaro
>> tel:+1-843-368-4186",2,ALL FINISHED,40HQ/8261KGS,2023-04-01
SM85271,3,GLE,3,GLE,03/31,2023-04-03,3,BLUEW,3,BNSF,3,dallas warehouse devan,2,ALL FINISHED,40',2023-10-01
SM85311,4,ZCGC,4,ZCGC,03/31,2023-04-02,4,BOS,4,CP RAIL BENSENVILLE,4,"evonik corporation. 2010 lilly road, lafayette, in 47909",2,ALL FINISHED,20'GP,2023-04-01
SM85332,5,WINIT AMERICA INC,5,TRWORLD,03/31,2023-04-08,5,Brilliant,5,Barbours CutTerminal,5,"11142 beltline road, houston, tx 77067",2,ALL FINISHED,40HQ/7615KGS,2023-04-01
SM85333,5,WINIT AMERICA INC,5,TRWORLD,03/31,2023-04-09,5,Brilliant,5,Barbours CutTerminal,5,"11142 beltline road, houston, tx 77067",2,ALL FINISHED,40HQ/7615KGS,2023-04-01
SM85334,5,WINIT AMERICA INC,5,TRWORLD,03/31,2023-04-08,5,Brilliant,5,Barbours CutTerminal,5,"11142 beltline road, houston, tx 77067",2,ALL FINISHED,40HQ/7651KGS,2023-04-01
SM85335,5,WINIT AMERICA INC,5,TRWORLD,03/31,2023-04-09,5,Brilliant,6,Houston-Barbours CutTerminal,5,"11142 beltline road, houston, tx 77067",2,ALL FINISHED,40HQ/7615KGS,2023-04-01
SM85336,5,WINIT AMERICA INC,5,TRWORLD,03/31,2023-04-09,5,Brilliant,5,Barbours CutTerminal,5,"11142 beltline road, houston, tx 77067",2,ALL FINISHED,40HQ/7615KGS,2023-04-01
SM85337,5,WINIT AMERICA INC,5,TRWORLD,03/31,2023-04-08,6,SEN MART USA,5,Barbours CutTerminal,5,"11142 beltline road, houston, tx 77067",2,ALL FINISHED,40HQ/7615KGS,2023-04-01
SM85338,5,WINIT AMERICA INC,5,TRWORLD,03/31,2023-04-08,6,SEN MART USA,5,Barbours CutTerminal,5,"11142 beltline road, houston, tx 77067",2,ALL FINISHED,40HQ/7615KGS,2023-04-01
SM85553,6,K-KJING,6,K-KJING,03/31,2023-04-17,7,AMG,7,ETS,6,smf3,2,ALL FINISHED,40,2023-04-01
SM85554,6,K-KJING,6,K-KJING,03/31,,7,AMG,7,ETS,7,sck4,2,ALL FINISHED,40,2023-04-01
SM85638,6,K-KJING,6,K-KJING,03/31,2023-04-06,7,AMG,8,ETS OAKLAND,6,smf3,2,ALL FINISHED,40,2023-04-01
SM85639,6,K-KJING,6,K-KJING,03/31,2023-04-06,7,AMG,7,ETS,7,sck4,2,ALL FINISHED,40,2023-04-01
SM85647,7,FEICO,7,FEICO,03/31,2023-04-18,8,FLTI,9,MAHER,8,"castlegate warehouse cranbury 48 station road
cranbury,nj 08512",2,ALL FINISHED,40,2023-04-01
SM85655,8,BGG,8,BGG,03/31,,8,FLTI,10,APM,9,"75 mt
vernon rd manalpan nj 07726",2,ALL FINISHED,20GP,2023-04-01
SM85662,9,LESHINE,9,LESHINE,03/31,2023-04-12,7,AMG,11, Ben E. Nutter Terminal,6,smf3,2,ALL FINISHED,40HQ,2023-04-01
SM85663,9,LESHINE,9,LESHINE,03/31,,7,AMG,12,Ben E. Nutter Terminal,7,sck4,2,ALL FINISHED,40HQ,2023-04-01
SM85830,10,YOOU INTERNATIONAL INC,10,SZOT,03/31,2023-04-13,9,CEI,13,EVERPORT,10,"14570 meyer canyon drive, fontana, ca, 92336",2,ALL FINISHED,40HQ/14000KGS,2023-04-01
SM85831,10,YOOU INTERNATIONAL INC,10,SZOT,03/31,2023-04-17,9,CEI,13,EVERPORT,10,"14570 meyer canyon drive, fontana, ca, 92336",2,ALL FINISHED,40HQ/14000KGS,2023-04-01
SM85832,10,YOOU INTERNATIONAL INC,10,SZOT,03/31,2023-04-13,9,CEI,13,EVERPORT,10,"14570 meyer canyon drive, fontana, ca, 92336",2,ALL FINISHED,40HQ/14000KGS,2023-04-01
SM85883,11,TOP,11,SPEEDSHIP,03/31,2023-04-06,1,,14,WAC8,11,,1,ALL FINISHED/CASE DONE,,2023-04-01
SM86214,12,AUTOMANN,12,AUTOMANN,03/31,2023-04-06,10,BSUI,15, NEW YORK,12,"automann inc
251 docks corner rd
monroe twp nj 08831",2,ALL FINISHED,20',2023-04-01
SM86321,13,DISCOVERY,13,DISCOVERY,03/31,-,11,AMZF,16,"9189 Utica Ave Rancho Cucamonga, CA US 91730",13,xlx7,2,ALL FINISHED,,2023-04-01
SM86339,14,AMASS,14,AMASS,03/31,-,12,TRAFFIX,17,"CVG POLAR AIR CARGO. 1121 Aviation Blvd. Hebron, KY 41048",14,"2125 gateway blvd, hebron, ky 41048",2,ALL FINISHED,41 CTNS / 2 PLTS / 667KGS,2023-04-01
